< SquareGame.jack, 17, class, RESWORD >
< SquareGame.jack, 57, ., SYMBOL >
< SquareGame.jack, 57, keyPressed, ID >
< SquareGame.jack, 57, (, SYMBOL >
< SquareGame.jack, 57, ), SYMBOL >
< SquareGame.jack, 57, ;, SYMBOL >
< SquareGame.jack, 58, do, RESWORD >
< SquareGame.jack, 58, moveSquare, ID >
< SquareGame.jack, 58, (, SYMBOL >
< SquareGame.jack, 58, ), SYMBOL >
< SquareGame.jack, 58, ;, SYMBOL >
< SquareGame.jack, 59, }, SYMBOL >
< SquareGame.jack, 60, if, RESWORD >
< SquareGame.jack, 60, (, SYMBOL >
< SquareGame.jack, 60, key, ID >
< SquareGame.jack, 60, =, SYMBOL >
< SquareGame.jack, 60, 81, INT >
< SquareGame.jack, 60, ), SYMBOL >
< SquareGame.jack, 60, {, SYMBOL >
< SquareGame.jack, 60, let, RESWORD >
< SquareGame.jack, 60, exit, ID >
< SquareGame.jack, 60, =, SYMBOL >
< SquareGame.jack, 60, true, RESWORD >
< SquareGame.jack, 60, ;, SYMBOL >
< SquareGame.jack, 60, }, SYMBOL >
< SquareGame.jack, 61, if, RESWORD >
< SquareGame.jack, 61, (, SYMBOL >
< SquareGame.jack, 61, key, ID >
< SquareGame.jack, 61, =, SYMBOL >
< SquareGame.jack, 61, 90, INT >
< SquareGame.jack, 61, ), SYMBOL >
< SquareGame.jack, 61, {, SYMBOL >
< SquareGame.jack, 61, do, RESWORD >
< SquareGame.jack, 61, square, ID >
< SquareGame.jack, 61, ., SYMBOL >
< SquareGame.jack, 61, decSize, ID >
< SquareGame.jack, 61, (, SYMBOL >
< SquareGame.jack, 61, ), SYMBOL >
< SquareGame.jack, 61, ;, SYMBOL >
< SquareGame.jack, 61, }, SYMBOL >
< SquareGame.jack, 62, if, RESWORD >
< SquareGame.jack, 62, (, SYMBOL >
< SquareGame.jack, 62, key, ID >
< SquareGame.jack, 62, =, SYMBOL >
< SquareGame.jack, 62, 88, INT >
< SquareGame.jack, 62, ), SYMBOL >
< SquareGame.jack, 62, {, SYMBOL >
< SquareGame.jack, 62, do, RESWORD >
< SquareGame.jack, 62, square, ID >
< SquareGame.jack, 62, ., SYMBOL >
< SquareGame.jack, 62, incSize, ID >
< SquareGame.jack, 62, (, SYMBOL >
< SquareGame.jack, 62, ), SYMBOL >
< SquareGame.jack, 62, ;, SYMBOL >
< SquareGame.jack, 62, }, SYMBOL >
< SquareGame.jack, 63, if, RESWORD >
< SquareGame.jack, 63, (, SYMBOL >
< SquareGame.jack, 63, key, ID >
< SquareGame.jack, 63, =, SYMBOL >
< SquareGame.jack, 63, 131, INT >
< SquareGame.jack, 63, ), SYMBOL >
< SquareGame.jack, 63, {, SYMBOL >
< SquareGame.jack, 63, let, RESWORD >
< SquareGame.jack, 63, direction, ID >
< SquareGame.jack, 63, =, SYMBOL >
< SquareGame.jack, 63, 1, INT >
< SquareGame.jack, 63, ;, SYMBOL >
< SquareGame.jack, 63, }, SYMBOL >
< SquareGame.jack, 64, if, RESWORD >
< SquareGame.jack, 64, (, SYMBOL >
< SquareGame.jack, 64, key, ID >
< SquareGame.jack, 64, =, SYMBOL >
< SquareGame.jack, 64, 133, INT >
< SquareGame.jack, 64, ), SYMBOL >
< SquareGame.jack, 64, {, SYMBOL >
< SquareGame.jack, 64, let, RESWORD >
< SquareGame.jack, 64, direction, ID >
< SquareGame.jack, 64, =, SYMBOL >
< SquareGame.jack, 64, 2, INT >
< SquareGame.jack, 64, ;, SYMBOL >
< SquareGame.jack, 64, }, SYMBOL >
< SquareGame.jack, 65, if, RESWORD >
< SquareGame.jack, 65, (, SYMBOL >
< SquareGame.jack, 65, key, ID >
< SquareGame.jack, 65, =, SYMBOL >
< SquareGame.jack, 65, 130, INT >
< SquareGame.jack, 65, ), SYMBOL >
< SquareGame.jack, 65, {, SYMBOL >
< SquareGame.jack, 65, let, RESWORD >
< SquareGame.jack, 65, direction, ID >
< SquareGame.jack, 65, =, SYMBOL >
< SquareGame.jack, 65, 3, INT >
< SquareGame.jack, 65, ;, SYMBOL >
< SquareGame.jack, 65, }, SYMBOL >
< SquareGame.jack, 66, if, RESWORD >
< SquareGame.jack, 66, (, SYMBOL >
< SquareGame.jack, 66, key, ID >
< SquareGame.jack, 66, =, SYMBOL >
< SquareGame.jack, 66, 132, INT >
< SquareGame.jack, 66, ), SYMBOL >
< SquareGame.jack, 66, {, SYMBOL >
< SquareGame.jack, 66, let, RESWORD >
< SquareGame.jack, 66, direction, ID >
< SquareGame.jack, 66, =, SYMBOL >
< SquareGame.jack, 66, 4, INT >
< SquareGame.jack, 66, ;, SYMBOL >
< SquareGame.jack, 66, }, SYMBOL >
< SquareGame.jack, 69, while, RESWORD >
< SquareGame.jack, 69, (, SYMBOL >
< SquareGame.jack, 69, ~, SYMBOL >
< SquareGame.jack, 69, (, SYMBOL >
< SquareGame.jack, 69, key, ID >
< SquareGame.jack, 69, =, SYMBOL >
< SquareGame.jack, 69, 0, INT >
< SquareGame.jack, 69, ), SYMBOL >
< SquareGame.jack, 69, ), SYMBOL >
< SquareGame.jack, 69, {, SYMBOL >
< SquareGame.jack, 70, let, RESWORD >
< SquareGame.jack, 70, key, ID >
< SquareGame.jack, 70, =, SYMBOL >
< SquareGame.jack, 70, Keyboard, ID >
< SquareGame.jack, 70, ., SYMBOL >
< SquareGame.jack, 70, keyPressed, ID >
< SquareGame.jack, 70, (, SYMBOL >
< SquareGame.jack, 70, ), SYMBOL >
< SquareGame.jack, 70, ;, SYMBOL >
< SquareGame.jack, 71, do, RESWORD >
< SquareGame.jack, 71, moveSquare, ID >
< SquareGame.jack, 71, (, SYMBOL >
< SquareGame.jack, 71, ), SYMBOL >
< SquareGame.jack, 71, ;, SYMBOL >
< SquareGame.jack, 72, }, SYMBOL >
< SquareGame.jack, 73, }, SYMBOL >
< SquareGame.jack, 74, return, RESWORD >
< SquareGame.jack, 74, ;, SYMBOL >
< SquareGame.jack, 75, }, SYMBOL >
< SquareGame.jack, 76, }, SYMBOL >
< SquareGame.jack, 80, End of File, EOFile >
